"JURIS_NAME","YEAR","TotalApprovedUnits","VeryLowUnits","LowUnits","ModUnits","AboveModUnits","SB35Count","DensityBonusCount","TotalAffordableUnits","IncomeTotal","LowIncomeShare","PriorApprovedUnits"
"AGOURA HILLS",2020,4,0,0,0,321,0,0,0,321,0,9
"AGOURA HILLS",2021,13,2,5,1,8,0,0,8,16,0.5,4
"AGOURA HILLS",2022,15,11,3,3,76,0,1,17,93,0.182795698924731,13
"AGOURA HILLS",2023,28,19,9,4,112,0,2,32,144,0.222222222222222,15
"AGOURA HILLS",2024,320,70,38,6,564,0,4,114,678,0.168141592920354,28
"ALAMEDA",2019,738,31,24,42,641,0,0,97,738,0.131436314363144,161
"ALAMEDA",2020,665,90,203,0,79,0,0,293,372,0.78763440860215,738
"ALAMEDA",2021,0,0,0,0,96,0,0,0,96,0,665
"ALAMEDA",2022,431,78,22,20,311,0,2,120,431,0.278422273781903,0
"ALAMEDA",2023,161,0,50,0,111,0,8,50,161,0.31055900621118,431
"ALAMEDA",2024,80,20,20,20,20,0,0,60,80,0.75,161
"ALBANY",2019,100,37,24,29,10,0,0,90,100,0.9,30
"ALBANY",2020,34,1,1,19,13,0,0,21,34,0.61764705882353,100
"ALBANY",2021,534,25,0,25,488,0,2,50,538,0.0929368029739777,34
"ALBANY",2022,34,32,31,48,11,0,2,111,122,0.90983606557377,534
"ALBANY",2023,19,7,6,6,5,0,0,19,24,0.791666666666667,34
"ALBANY",2024,18,6,6,6,1,0,0,18,19,0.947368421052632,19
"ALHAMBRA",2019,97,0,0,0,97,0,0,0,97,0,60
"ALHAMBRA",2020,0,0,2,0,35,0,0,2,37,0.0540540540540541,97
"ALHAMBRA",2021,105,24,26,0,73,0,3,50,123,0.40650406504065,0
"ALHAMBRA",2022,110,33,10,1,254,0,0,44,298,0.147651006711409,105
"ALHAMBRA",2023,4,0,2,0,178,0,1,2,180,0.0111111111111111,110
"ALHAMBRA",2024,73,12,10,9,332,0,3,31,363,0.0853994490358127,4
"ALISO VIEJO",2024,0,10,8,26,0,0,3,44,44,1,0
"ALTURAS",2020,3,0,1,1,1,0,0,2,3,0.666666666666667,1
"ALTURAS",2021,1,0,1,0,0,0,0,1,1,1,3
"AMERICAN CANYON",2019,4,0,4,0,0,0,0,4,4,1,1260
"AMERICAN CANYON",2020,4,1,3,291,0,0,0,295,295,1,4
"AMERICAN CANYON",2021,362,27,42,1,292,0,1,70,362,0.193370165745856,4
"AMERICAN CANYON",2022,6,75,31,450,216,0,1,556,772,0.72020725388601,362
"AMERICAN CANYON",2023,5,7,5,8,85,0,1,20,105,0.19047619047619,6
"AMERICAN CANYON",2024,167,1,3,2,161,0,0,6,167,0.0359281437125748,5
"ANAHEIM",2019,843,135,35,30,643,0,0,200,843,0.237247924080664,13
"ANAHEIM",2020,5974,259,207,18,5615,0,0,484,6099,0.0793572716838826,843
"ANAHEIM",2021,840,194,60,14,572,0,2,268,840,0.319047619047619,5974
"ANAHEIM",2022,676,42,72,75,487,0,2,189,676,0.279585798816568,840
"ANAHEIM",2023,826,62,43,81,640,0,2,186,826,0.225181598062954,676
"ANAHEIM",2024,432,158,119,101,570,0,0,378,948,0.39873417721519,826
"ANDERSON",2019,25,0,0,0,26,0,0,0,26,0,29
"ANDERSON",2020,0,0,0,0,3,0,0,0,3,0,25
"ANDERSON",2021,8,0,0,0,8,0,0,0,8,0,0
"ANDERSON",2022,37,0,0,0,37,0,0,0,37,0,8
"ANDERSON",2023,21,0,0,0,21,0,0,0,21,0,37
"ANDERSON",2024,0,0,0,0,14,0,0,0,14,0,21
